indecx_term     DOC#     Freq     location       

abil            4        1        1941           
accept          4        1        1861           
activ           4        1        2272           
actual          4        1        1344           
adapt           4        1        2476           
addit           4        1        2568           
address         4        1        2184           
advanc          3        2        962            
ai              2        4        -1             
aim             3        1        1349           
algorithm       3        3        176            
also            4        2        2132           
amount          3        1        819            
analysi         3        1        164            
analyz          3        1        790            
ani             4        1        1307           
anim            1        1        96             
anoth           4        1        985            
appli           4        1        -1             
applic          3        3        107            
approach        4        2        69             
appropri        4        1        1151           
architectur     3        1        389            
architectur     4        2        1069           
area            3        1        986            
aris            4        1        2211           
around          1        1        259            
artifici        2        1        -1             
artifici        3        3        433            
aspect          3        2        558            
aspect          4        1        639            
autom           3        1        252            
best            4        1        1505           
biodivers       1        1        -1             
bioinformat     3        1        1082           
blueprint       4        1        1056           
broad           2        1        151            
bug             4        1        2447           
busi            4        1        3067           
capabl          2        1        229            
capabl          3        1        -1             
care            4        1        509            
chang           4        1        2526           
choos           4        1        1138           
clear           4        1        878            
client          4        2        780            
code            4        5        1440           
collabor        4        2        2695           
combin          4        1        2908           
commun          3        1        1218           
commun          4        1        2634           
complex         3        1        231            
compon          3        1        211            
compon          4        1        1207           
comput          2        1        166            
comput          3        13       63             
configur        4        1        2071           
continu         4        1        2369           
cover           3        1        285            
creat           2        1        199            
creat           3        1        653            
creat           4        2        220            
critic          4        1        993            
crucial         4        1        1644           
cybersecur      3        1        1043           
cycl            4        1        386            
data            3        3        351            
data            4        1        1251           
databas         3        1        422            
decis           4        1        1120           
defect          4        1        1914           
defin           4        1        1186           
deliv           4        1        2805           
deploy          4        2        466            
design          3        3        137            
design          4        5        81             
develop         3        2        147            
develop         4        6        92             
differ          1        1        67             
differ          4        1        -1             
disciplin       3        1        22             
disciplin       4        1        26             
divers          1        1        3              
document        4        1        730            
done            4        1        1385           
dure            4        2        -1             
earth           1        1        -1             
ecosystem       1        2        129            
effect          4        1        2965           
effici          3        2        599            
effici          4        2        579            
employ          4        1        1885           
encompass       1        1        163            
encompass       3        1        38             
encompass       4        1        42             
engin           4        12       9              
engineering.comput 3        1        -1             
enhanc          4        2        1588           
ensur           4        4        543            
entertain       3        1        1187           
environ         4        2        2096           
establish       4        2        866            
evolv           4        1        2501           
execut          4        1        531            
expect          4        1        1758           
expertis        4        1        2927           
explor          3        2        840            
field           2        1        157            
field           4        1        2897           
financ          3        1        1178           
fix             4        2        1910           
focus           2        1        188            
focus           3        1        1285           
follow          4        1        1474           
found           1        1        221            
framework       4        1        1574           
fulfil          4        1        275            
function        3        1        1400           
function        4        1        2379           
gather          4        1        423            
gener           2        1        -1             
genet           1        1        179            
good            4        1        -1             
graphic         3        1        468            
guid            4        1        933            
ha              3        1        34             
habitat         1        1        238            
hardwar         3        2        202            
healthcar       3        1        1166           
help            4        1        860            
high-qual       4        1        227            
human           2        3        60             
identifi        4        1        -1             
implement       4        1        1351           
improv          3        1        1359           
includ          1        1        53             
includ          3        2        318            
includ          4        4        400            
industri        3        1        1144           
instal          4        1        2057           
integr          4        1        1820           
intellig        2        4        66             
intellig        3        2        445            
intelligence.comput 3        1        -1             
interfac        4        1        1236           
involv          3        1        124            
involv          4        6        150            
issu            4        1        2199           
key             4        1        635            
languag         3        2        340            
languag         4        1        1463           
larg            3        1        813            
learn           2        1        124            
learn           3        1        1033           
leverag         4        1        1526           
life            1        1        38             
life            4        1        381            
like            2        1        130            
limit           3        1        871            
live            1        1        154            
machin          2        2        82             
machin          3        1        1025           
maintain        4        2        117            
mainten         4        3        482            
manag           3        1        804            
manag           4        1        2768           
mani            3        1        -1             
may             4        1        2128           
meet            4        3        254            
member          4        1        2793           
methodolog      4        1        192            
microorgan      1        1        105            
modul           4        1        1195           
monitor         4        1        2318           
multidisciplinari 4        1        -1             
narrow          2        1        -1             
need            4        4        265            
network         3        1        487            
new             3        2        708            
object          4        1        3076           
onc             4        1        -1             
one             4        1        1211           
ongo            4        1        2264           
oper            3        1        403            
oper            4        1        2541           
optim           3        1        760            
overal          3        1        -1             
overal          4        1        -1             
perform         2        1        240            
perform         4        2        1746           
phase           4        3        1002           
plan            4        2        519            
plant           1        1        88             
play            3        1        928            
play            4        1        1636           
possibl         3        1        -1             
practic         3        1        1317           
practic         4        1        1510           
principl        4        1        180            
problem         3        2        239            
problem-solv    4        1        2649           
process         4        2        852            
product         4        1        1596           
program         2        1        100            
program         3        2        328            
program         4        1        1451           
project         4        2        2760           
provid          4        1        2152           
qualiti         4        1        -1             
rang            3        1        301            
readi           4        1        -1             
refer           1        1        13             
refer           2        1        32             
region          1        1        251            
reliabl         3        1        -1             
reliabl         4        3        569            
requir          2        1        272            
requir          4        6        293            
research        3        1        1249           
road            3        1        296            
robot           3        1        1058           
robust          4        1        1953           
role            3        1        942            
role            4        1        1652           
scalabl         4        1        594            
scienc          2        1        175            
scienc          3        5        9              
scientif        3        1        1238           
scientist       3        1        531            
sdlc            4        1        -1             
secur           4        1        2411           
shape           3        1        -1             
simul           2        1        46             
skill           4        1        2590           
softwar         3        4        188            
softwar         4        30       129            
solut           4        2        612            
solv            3        2        225            
speci           1        2        77             
specif          4        2        284            
specifi         4        1        284            
stage           4        3        346            
stakehold       4        2        762            
standard        4        1        1491           
strong          4        1        2627           
structur        3        1        356            
structur        4        1        1256           
studi           3        1        -1             
